Date,Visitor,Home,Away_final_score,Home_final_score,Moneyline_away,Moneyline_home,Opening_spread,Closing_spread,Opening_total,Closing_total,Away_spread_Open,Home_spread_Open,Away_spread_Close,Home_spread_Close,2H_spread,2H_total
2017-10-29,Oakland,Buffalo,14,34,-131,111,3.0,2.5,44.5,47.0,-3.0,3.0,-2.5,2.5,0.5,23.0
2017-10-29,Indianapolis,Cincinnati,23,24,-550,416,10.0,11.0,41.0,44.0,-10.0,10.0,-11.0,11.0,7.0,23.0
2017-10-29,LAChargers,NewEngland,13,21,-306,250,7.0,6.5,49.0,49.0,-7.0,7.0,-6.5,6.5,2.5,24.5
2017-10-29,Houston,Seattle,38,41,-286,235,6.0,6.0,43.0,45.0,-6.0,6.0,-6.0,6.0,3.0,24.0
2017-10-29,Dallas,Washington,33,19,145,-166,0.0,3.0,50.5,46.0,0.0,0.0,3.0,-3.0,2.5,23.0
2017-10-29,Pittsburgh,Detroit,20,15,152,-176,3.0,3.0,44.5,44.5,3.0,-3.0,3.0,-3.0,3.0,24.0
2017-10-30,Denver,KansasCity,19,29,-340,274,7.5,7.0,44.0,42.0,-7.5,7.5,-7.0,7.0,3.0,20.5
2017-11-02,Buffalo,NYJets,21,34,155,-185,3.5,3.0,42.0,42.5,3.5,-3.5,3.0,-3.0,3.0,20.5
2017-11-05,Denver,Philadelphia,23,51,-330,260,7.5,7.0,44.0,41.0,-7.5,7.5,-7.0,7.0,1.5,20.0
2017-11-05,LARams,NYGiants,51,17,220,-270,4.0,6.0,43.5,42.5,4.0,-4.0,6.0,-6.0,0.5,21.0
2017-11-05,TampaBay,NewOrleans,10,30,-330,260,7.0,7.0,50.0,54.5,-7.0,7.0,-7.0,7.0,3.0,25.5
2017-11-05,Cincinnati,Jacksonville,7,23,-260,210,3.5,5.5,39.5,38.0,-3.5,3.5,-5.5,5.5,2.5,19.0
2017-11-05,Atlanta,Carolina,17,20,135,-155,1.5,3.0,44.0,42.0,1.5,-1.5,3.0,-3.0,2.5,21.0
2017-11-05,Indianapolis,Houston,20,14,-260,210,13.0,6.0,48.0,45.0,-13.0,13.0,-6.0,6.0,4.0,21.0
2017-11-05,Baltimore,Tennessee,20,23,-160,140,4.0,3.0,43.0,41.0,-4.0,4.0,-3.0,3.0,0.5,20.0
2017-11-05,Arizona,SanFrancisco,20,10,115,-135,1.0,2.5,39.0,39.0,1.0,-1.0,2.5,-2.5,0.0,19.0
2017-11-05,Washington,Seattle,17,14,-450,350,7.0,8.5,45.0,44.5,-7.0,7.0,-8.5,8.5,7.5,21.0
2017-11-05,KansasCity,Dallas,17,28,-140,120,1.0,2.5,48.5,53.0,-1.0,1.0,-2.5,2.5,0.0,27.5
2017-11-05,Oakland,Miami,27,24,145,-170,2.5,3.0,43.5,44.0,2.5,-2.5,3.0,-3.0,0.0,23.5
2017-11-06,Detroit,GreenBay,30,17,120,-140,2.0,2.5,43.0,42.5,2.0,-2.0,2.5,-2.5,0.0,21.5
2017-11-09,Seattle,Arizona,22,16,230,-280,6.5,6.0,43.0,40.5,6.5,-6.5,6.0,-6.0,0.5,20.5
2017-11-12,Minnesota,Washington,38,30,-105,-115,2.5,1.0,43.0,42.0,2.5,-2.5,1.0,-1.0,3.0,23.0
2017-11-12,GreenBay,Chicago,23,16,-240,190,5.0,5.0,38.0,37.5,-5.0,5.0,-5.0,5.0,3.5,19.5
2017-11-12,Pittsburgh,Indianapolis,20,17,425,-600,10.0,11.0,43.0,46.5,10.0,-10.0,11.0,-11.0,9.0,24.0
2017-11-12,LAChargers,Jacksonville,17,20,-240,190,4.0,4.5,41.5,40.5,-4.0,4.0,-4.5,4.5,3.5,20.0
2017-11-12,NYJets,TampaBay,10,15,-120,100,0.0,1.0,41.0,44.5,0.0,0.0,-1.0,1.0,0.0,21.0
2017-11-12,Cincinnati,Tennessee,20,24,-230,185,4.0,5.0,40.5,40.5,-4.0,4.0,-5.0,5.0,2.5,21.5
2017-11-12,NewOrleans,Buffalo,47,10,115,-135,2.5,2.0,48.5,48.0,2.5,-2.5,2.0,-2.0,0.0,23.5
2017-11-12,Cleveland,Detroit,24,38,-500,375,12.0,10.0,44.0,42.5,-12.0,12.0,-10.0,10.0,3.5,21.5
2017-11-12,Houston,LARams,7,33,-650,450,10.0,13.0,47.0,45.5,-10.0,10.0,-13.0,13.0,6.5,22.0
2017-11-12,Dallas,Atlanta,7,27,-200,170,3.0,3.5,50.5,49.5,-3.0,3.0,-3.5,3.5,1.5,24.0
2017-11-12,NYGiants,SanFrancisco,21,31,140,-160,1.0,3.0,42.0,41.5,1.0,-1.0,3.0,-3.0,3.0,21.5
2017-11-12,NewEngland,Denver,41,16,270,-340,7.0,7.0,46.5,44.5,7.0,-7.0,7.0,-7.0,0.0,21.5
2017-11-13,Miami,Carolina,21,45,-401,318,9.0,8.0,39.5,38.5,-9.0,9.0,-8.0,8.0,3.5,19.5
2017-11-16,Tennessee,Pittsburgh,17,40,-350,275,7.0,7.0,43.5,44.5,-7.0,7.0,-7.0,7.0,0.0,22.5
2017-11-19,Detroit,Chicago,27,24,145,-170,3.0,3.0,44.0,40.5,3.0,-3.0,3.0,-3.0,1.0,21.0
2017-11-19,KansasCity,NYGiants,9,12,350,-450,12.5,10.0,44.0,45.0,12.5,-12.5,10.0,-10.0,6.5,20.5
2017-11-19,TampaBay,Miami,30,20,105,-125,1.5,1.5,43.5,44.0,1.5,-1.5,1.5,-1.5,1.5,22.0
2017-11-19,Baltimore,GreenBay,23,0,115,-135,2.5,2.5,38.0,38.5,2.5,-2.5,2.5,-2.5,0.0,18.0
2017-11-19,LARams,Minnesota,7,24,-130,110,1.5,2.0,46.0,46.5,-1.5,1.5,-2.0,2.0,0.0,23.5
2017-11-19,Arizona,Houston,21,31,-135,115,0.0,2.5,39.0,38.5,0.0,0.0,-2.5,2.5,1.5,20.5
2017-11-19,Jacksonville,Cleveland,19,7,270,-340,9.0,7.0,38.0,37.0,9.0,-9.0,7.0,-7.0,4.0,17.5
2017-11-19,Washington,NewOrleans,31,34,-450,350,8.0,9.0,49.0,53.0,-8.0,8.0,-9.0,9.0,7.0,26.5
2017-11-19,Buffalo,LAChargers,24,54,-310,250,3.5,7.0,44.0,41.5,-3.5,3.5,-7.0,7.0,2.5,20.0
2017-11-19,Cincinnati,Denver,20,17,-150,130,2.5,2.5,40.0,38.0,-2.5,2.5,-2.5,2.5,3.0,17.5
2017-11-19,NewEngland,Oakland,33,8,260,-330,5.0,7.0,50.0,55.5,5.0,-5.0,7.0,-7.0,2.5,27.0
2017-11-19,Philadelphia,Dallas,37,9,220,-270,3.5,6.5,47.0,48.5,3.5,-3.5,6.5,-6.5,4.5,23.5
2017-11-20,Atlanta,Seattle,34,31,100,-120,3.0,1.0,45.0,46.0,3.0,-3.0,1.0,-1.0,3.0,23.5
2017-11-23,Minnesota,Detroit,30,23,125,-145,0.0,2.5,44.5,45.5,0.0,0.0,2.5,-2.5,0.0,23.5
2017-11-23,LAChargers,Dallas,28,6,-105,-115,1.0,1.0,48.0,46.0,1.0,-1.0,1.0,-1.0,0.5,22.5
2017-11-23,NYGiants,Washington,10,20,-390,295,7.5,7.0,44.5,44.0,-7.5,7.5,-7.0,7.0,3.5,21.5
2017-11-26,Cleveland,Cincinnati,16,30,-400,300,9.0,7.5,38.0,39.0,-9.0,9.0,-7.5,7.5,2.5,20.0
