"Urls","headlines","archiveDate"
"http://web.archive.org/web/20191116102711/http://www.espn.com/nfl/","","2019-11-16"
"http://web.archive.org/web/20191116102711/http://www.espn.com/nfl/","","2019-11-16"
"http://web.archive.org/web/20191116102711/http://www.espn.com/nfl/","","2019-11-16"
"http://web.archive.org/web/20191116102711/http://www.espn.com/nfl/","","2019-11-16"
"http://web.archive.org/web/20191116102711/http://www.espn.com/nfl/","","2019-11-16"
"http://web.archive.org/web/20191117111417/https://www.espn.com/nfl/","Kap throws for 8 teams, tells NFL, 'Stop running'","2019-11-17"
"http://web.archive.org/web/20191117111417/https://www.espn.com/nfl/","Source: 49ers' Kittle, Breida out vs. Cardinals","2019-11-17"
"http://web.archive.org/web/20191117111417/https://www.espn.com/nfl/","Rivers wants to play on, will 'regroup' after '19","2019-11-17"
"http://web.archive.org/web/20191117111417/https://www.espn.com/nfl/","Pats wary of Eagles TEs after Chung ruled out","2019-11-17"
"http://web.archive.org/web/20191117111417/https://www.espn.com/nfl/","Dolphins sign WR Hurns to 2-year, $8M extension","2019-11-17"
"http://web.archive.org/web/20191117111417/https://www.espn.com/nfl/","Kalil, pulled out of retirement by Jets, goes on IR","2019-11-17"
"http://web.archive.org/web/20191117111417/https://www.espn.com/nfl/","Ex-Browns OC Haley says melee falls on Kitchens","2019-11-17"
"http://web.archive.org/web/20191118014329/http://www.espn.com/nfl/","Reid: Kap accomplished goal, proved he can play","2019-11-18"
"http://web.archive.org/web/20191118014329/http://www.espn.com/nfl/","49ers overcome 16-point deficit to beat Cardinals","2019-11-18"
"http://web.archive.org/web/20191118014329/http://www.espn.com/nfl/","Vikings make rare 20-point comeback after half","2019-11-18"
"http://web.archive.org/web/20191118014329/http://www.espn.com/nfl/","Hopkins: Need 'someone new' deciding PI calls","2019-11-18"
"http://web.archive.org/web/20191118014329/http://www.espn.com/nfl/","Falcons' Ryan hits top 10 all time in pass yards","2019-11-18"
"http://web.archive.org/web/20191118014329/http://www.espn.com/nfl/","Gallup has huge game a year after brother's death","2019-11-18"
"http://web.archive.org/web/20191118014329/http://www.espn.com/nfl/","Source: Colts RB Mack suffers fractured hand","2019-11-18"
"http://web.archive.org/web/20191119105802/http://www.espn.com/nfl/","Lynn on Rivers INTs: 'Just has to execute better'","2019-11-19"
"http://web.archive.org/web/20191119105802/http://www.espn.com/nfl/","Kitchens: Browns standing by suspended Garrett","2019-11-19"
