"Date","Visitor","Home","Away_final_score","Home_final_score","Moneyline_away","Moneyline_home","Opening_spread","Closing_spread","Opening_total","Closing_total","Away_spread_Open","Home_spread_Open","Away_spread_Close","Home_spread_Close","2H_spread","2H_total"
2010-10-24,"Cincinnati","Miami",22,32,175,135,40,40.5,42.5,43,"+ 40","- 40","+ 40.5","- 40.5",20,20.5
2010-10-24,"Jacksonville","Atlanta",39,20,350,-210,5,3.5,37.5,39,"+ 5","- 5","+ 3.5","- 3.5",0,19.5
2010-10-24,"Philadelphia","KansasCity",42,19,120,-450,9.5,9,43,42,"+ 9.5","- 9.5","+ 9","- 9",4,20
2010-10-24,"Washington","Tennessee",37,17,140,-140,3,3,40,40,"+ 3","- 3","+ 3","- 3",0.5,18.5
2010-10-24,"Cleveland","Chicago",14,30,465,-160,3,3,44,44,"+ 3","- 3","+ 3","- 3",0,21.5
2010-10-24,"Buffalo","NewOrleans",17,34,475,-630,14,12.5,37,40,"+ 14","- 14","+ 12.5","- 12.5",7.5,20.5
2010-10-24,"SanFrancisco","Baltimore",37,20,-135,-650,3,2.5,13,12.5,"+ 3","- 3","+ 2.5","- 2.5",1.5,7.5
2010-10-24,"St.Louis","Carolina",23,17,140,115,34.5,35.5,38,39,"+ 34.5","- 34.5","+ 35.5","- 35.5",18,19.5
2010-10-24,"Arizona","TampaBay",18,10,240,-160,1,3,41,40.5,"+ 1","- 1","+ 3","- 3",3,17.5
2010-10-24,"NewEngland","Seattle",22,23,115,-280,3.5,6.5,48,49.5,"+ 3.5","- 3.5","+ 6.5","- 6.5",1.5,24
2010-10-24,"Oakland","SanDiego",20,59,265,-135,3,1.5,42.5,43,"+ 3","- 3","+ 1.5","- 1.5",3,19.5
2010-10-24,"Minnesota","Denver",14,24,115,-325,7,7,44,44.5,"+ 7","- 7","+ 7","- 7",7,24
2010-10-24,"NYGiants","GreenBay",28,41,160,-135,3,2.5,44.5,45.5,"+ 3","- 3","+ 2.5","- 2.5",1.5,5
2010-10-25,"Denver","Dallas",35,16,115,-180,3,3.5,42,41,"+ 3","- 3","+ 3.5","- 3.5",18.5,20.5
2010-10-31,"Jacksonville","SanFrancisco",24,35,250,-135,0,2.5,45,43.5,"+ 0","- 0","+ 2.5","- 2.5",0,21.5
2010-10-31,"Washington","Dallas",17,25,120,-300,11,6.5,44.5,45,"+ 11","- 11","+ 6.5","- 6.5",4.5,21.5
2010-10-31,"GreenBay","Detroit",37,9,250,-140,1,2.5,42,42,"+ 1","- 1","+ 2.5","- 2.5",3,20
2010-10-31,"Carolina","NYJets",0,10,110,-300,4.5,6,35,37.5,"+ 4.5","- 4.5","+ 6","- 6",5,17.5
2010-10-31,"Miami","St.Louis",20,22,-120,-130,3,1,44,2.5,"+ 3","- 3","+ 1","- 1",0,1
2010-10-31,"Buffalo","Cincinnati",14,10,270,100,1,44,43,45.5,"+ 1","- 1","+ 44","- 44",21,21.5
2010-10-31,"Tennessee","KansasCity",13,25,205,-330,9,7,43.5,45,"+ 9","- 9","+ 7","- 7",2.5,23
2010-10-31,"TampaBay","SanDiego",33,38,155,-245,3.5,5.5,40,38,"+ 3.5","- 3.5","+ 5.5","- 5.5",5,20
2010-10-31,"Seattle","Arizona",35,3,110,-175,3.5,3,40,40.5,"+ 3.5","- 3.5","+ 3","- 3",3,19
2010-10-31,"Minnesota","Oakland",33,18,180,-130,1.5,1.5,44,45,"+ 1.5","- 1.5","+ 1.5","- 1.5",0,21.5
2010-10-31,"Pittsburgh","NewEngland",28,10,-105,-220,3.5,5,43,45,"+ 3.5","- 3.5","+ 5","- 5",3,21
2010-10-31,"Houston","NewOrleans",20,17,190,-115,0,1,49,50.5,"+ 0","- 0","+ 1","- 1",0,24
2010-11-01,"Chicago","Indianapolis",30,22,-150,-230,1,3,5.5,5,"+ 1","- 1","+ 3","- 3",0,3
2010-11-07,"SanDiego","Buffalo",19,29,-140,130,1.5,3,40.5,41.5,"- 1.5","+ 1.5","- 3","+ 3",3,20.5
2010-11-07,"NewOrleans","Houston",23,34,-260,120,6.5,5.5,49.5,50,"- 6.5","+ 6.5","- 5.5","+ 5.5",2,26
2010-11-07,"Arizona","Carolina",3,24,290,220,41,40,41,42.5,"+ 41","- 41","+ 40","- 40",19.5,21.5
2010-11-07,"TampaBay","Minnesota",27,21,400,-350,9,7,45,44.5,"+ 9","- 9","+ 7","- 7",6,22.5
2010-11-07,"NYJets","Atlanta",27,23,-250,-500,3.5,5.5,9,10,"+ 3.5","- 3.5","+ 5.5","- 5.5",2.5,4.5
2010-11-07,"Miami","Detroit",20,10,180,210,40,41,43,42.5,"- 40","+ 40","- 41","+ 41",20.5,20.5
2010-11-07,"NewEngland","Baltimore",26,14,-210,-220,5,4,5.5,5,"+ 5","- 5","+ 4","- 4",1.5,5
2010-11-07,"NYGiants","Cleveland",34,41,-350,175,5.5,7,44,43.5,"- 5.5","+ 5.5","- 7","+ 7",0,21.5
2010-11-07,"KansasCity","Seattle",7,20,110,290,41,40.5,41.5,41,"- 41","+ 41","- 40.5","+ 40.5",17,20
2010-11-07,"Indianapolis","Oakland",23,24,140,-130,2.5,0,47,46,"+ 2.5","- 2.5","+ 0","- 0",0.5,24
2010-11-07,"Dallas","Philadelphia",26,7,260,-160,2.5,3,44,46,"+ 2.5","- 2.5","+ 3","- 3",1,21
2010-11-07,"Pittsburgh","GreenBay",45,27,-230,-320,3.5,5.5,9,7.5,"+ 3.5","- 3.5","+ 5.5","- 5.5",0,1.5
2010-11-08,"Baltimore","Cincinnati",21,21,113,190,41.5,42,43,44,"- 41.5","+ 41.5","- 42","+ 42",1.5,20.5
2010-11-11,"Cincinnati","Atlanta",26,17,265,-125,1,1,47.5,47,"+ 1","- 1","+ 1","- 1",21,23
2010-11-14,"Houston","Indianapolis",23,24,-110,-325,1,7,8,48,"+ 1","- 1","+ 7","- 7",1,2.5
2010-11-14,"Tennessee","Jacksonville",31,17,105,-110,41.5,0,50,43,"+ 41.5","- 41.5","+ 0","- 0",21,23.5
2010-11-14,"Minnesota","Miami",29,13,-110,-125,1.5,1,2,1.5,"+ 1.5","- 1.5","+ 1","- 1",1,2.5
2010-11-14,"Detroit","Chicago",27,12,110,-110,38,40.5,42.5,45,"+ 38","- 38","+ 40.5","- 40.5",20.5,21
2010-11-14,"NYJets","Buffalo",14,26,-190,-130,3,1.5,3.5,3.5,"- 3","+ 3","- 1.5","+ 1.5",0.5,0.5
2010-11-14,"Carolina","Cleveland",20,16,255,160,35,37,36.5,37,"+ 35","- 35","+ 37","- 37",17.5,18.5
2010-11-14,"KansasCity","TampaBay",31,29,-120,-305,2.5,1,7.5,7,"+ 2.5","- 2.5","+ 1","- 1",1.5,3
2010-11-14,"St.Louis","Denver",49,20,195,100,38,38.5,42,44.5,"+ 38","- 38","+ 38.5","- 38.5",19.5,21
2010-11-14,"Seattle","SanFrancisco",23,36,170,-235,5.5,5,41,41,"+ 5.5","- 5.5","+ 5","- 5",3,20.5
2010-11-14,"Dallas","Arizona",18,33,450,-200,3,3.5,44.5,46,"+ 3","- 3","+ 3.5","- 3.5",3.5,22.5
2010-11-14,"NewEngland","NYGiants",20,39,175,-600,13.5,12.5,45,44.5,"+ 13.5","- 13.5","+ 12.5","- 12.5",7,21.5
2010-11-14,"Philadelphia","Pittsburgh",26,59,-175,-210,3,3,4,4,"+ 3","- 3","+ 3","- 3",3,21.5
2010-11-15,"Chicago","Washington",28,16,115,155,39.5,40,41.5,44,"- 39.5","+ 39.5","- 40","+ 40",3,17.5
2010-11-18,"Oakland","Miami",0,3,250,-135,3,2.5,41.5,41,"+ 3","- 3","+ 2.5","- 2.5",1.5,19.5
2010-11-21,"Houston","Pittsburgh",35,27,240,-300,9,7,44.5,46,"+ 9","- 9","+ 7","- 7",2.5,22
2010-11-21,"Baltimore","NYJets",30,37,-825,-280,7,6.5,9,13.5,"- 7","+ 7","- 6.5","+ 6.5",1,6
2010-11-21,"Washington","Carolina",13,19,255,610,37,37,43,44.5,"- 37","+ 37","- 37","+ 37",17.5,22
2010-11-21,"Detroit","Tennessee",16,19,200,-310,7,7,46,47.5,"+ 7","- 7","+ 7","- 7",4,23
2010-11-21,"GreenBay","Dallas",35,31,-155,-240,1,3,9,5.5,"+ 1","- 1","+ 3","- 3",0,4
2010-11-21,"Buffalo","Minnesota",3,49,175,135,43.5,41,43.5,45,"+ 43.5","- 43.5","+ 41","- 41",20.5,21.5
2010-11-21,"Cleveland","Cincinnati",31,20,115,-210,5,4,42,43,"+ 5","- 5","+ 4","- 4",0,21
2010-11-21,"Arizona","Jacksonville",24,13,290,-135,3,2.5,42,45,"+ 3","- 3","+ 2.5","- 2.5",0,21.5
2010-11-21,"Seattle","KansasCity",31,19,425,-350,7,7,44,45,"+ 7","- 7","+ 7","- 7",2.5,23.5
2010-11-21,"Atlanta","NewOrleans",34,34,-190,-550,3,3.5,12,11,"+ 3","- 3","+ 3.5","- 3.5",0.5,3.5
2010-11-21,"TampaBay","St.Louis",17,21,160,165,40.5,41.5,43,43.5,"- 40.5","+ 40.5","- 41.5","+ 41.5",19.5,21.5
2010-11-21,"Indianapolis","SanFrancisco",0,28,170,-180,3.5,3.5,51,50,"+ 3.5","- 3.5","+ 3.5","- 3.5",3,26
2010-11-21,"NYGiants","NewEngland",31,17,160,-200,3,4.5,48,48.5,"+ 3","- 3","+ 4.5","- 4.5",0.5,23.5
2010-11-21,"Denver","Philadelphia",27,14,335,-180,3,3.5,47,51,"+ 3","- 3","+ 3.5","- 3.5",0,24
2010-11-22,"NewEngland","SanDiego",35,45,-270,-410,6.5,7,9.5,9,"+ 6.5","- 6.5","+ 7","- 7",2.5,7
2010-11-25,"NewOrleans","Detroit",24,30,-230,230,3,4.5,51,50.5,"- 3","+ 3","- 4.5","+ 4.5",0,25
2010-11-25,"Cincinnati","Dallas",27,10,345,190,43.5,43.5,50.5,49,"+ 43.5","- 43.5","+ 43.5","- 43.5",21,21
2010-11-25,"Minnesota","NYJets",26,17,-140,-420,8.5,2.5,43,9.5,"+ 8.5","- 8.5","+ 2.5","- 2.5",1,7
2010-11-28,"Pittsburgh","Washington",13,19,-320,120,1.5,6.5,6,43.5,"- 1.5","+ 1.5","- 6.5","+ 6.5",2,21
2010-11-28,"Tennessee","Buffalo",16,0,175,260,42,43.5,46.5,46.5,"- 42","+ 42","- 43.5","+ 43.5",20,21.5
2010-11-28,"Jacksonville","Houston",20,20,290,-210,6,4.5,45.5,42.5,"+ 6","- 6","+ 4.5","- 4.5",0,21.5
2010-11-28,"Carolina","NYGiants",24,23,320,-350,9.5,7.5,37.5,37.5,"+ 9.5","- 9.5","+ 7.5","- 7.5",6.5,19
2010-11-28,"TampaBay","Cleveland",24,10,265,-390,9,8,42,42,"+ 9","- 9","+ 8","- 8",3,20
2010-11-28,"Philadelphia","Baltimore",17,26,-170,-325,3.5,3,9.5,8,"+ 3.5","- 3.5","+ 3","- 3",3,3
2010-11-28,"GreenBay","Chicago",31,17,120,150,41.5,42,47.5,46.5,"- 41.5","+ 41.5","- 42","+ 42",1,21.5
2010-11-28,"Miami","Atlanta",20,33,130,-140,0,1.5,38,38,"+ 0","- 0","+ 1.5","- 1.5",19.5,24
2010-11-28,"KansasCity","Oakland",17,42,-125,-150,1,2.5,2.5,3,"+ 1","- 1","+ 2.5","- 2.5",0.5,21.5
2010-11-28,"St.Louis","Seattle",24,36,155,105,43,46.5,44,47,"+ 43","- 43","+ 46.5","- 46.5",0.5,23.5
2010-11-28,"SanDiego","Denver",33,36,120,-175,5,3,51.5,49.5,"+ 5","- 5","+ 3","- 3",3.5,24.5
2010-11-28,"SanFrancisco","Indianapolis",14,27,-140,-140,2.5,1.5,3,2,"+ 2.5","- 2.5","+ 1.5","- 1.5",0.5,19.5
2010-11-29,"Houston","Arizona",6,24,310,120,38.5,42,49.5,51.5,"+ 38.5","- 38.5","+ 42","- 42",0,24
2010-12-02,"Buffalo","Philadelphia",34,14,190,-380,8,9,45,43.5,"+ 8","- 8","+ 9","- 9",3,20
2010-12-05,"Cleveland","Minnesota",38,13,200,-230,6.5,5,43,43.5,"+ 6.5","- 6.5","+ 5","- 5",0,20.5
2010-12-05,"Jacksonville","Miami",10,17,140,-250,5.5,6,43.5,43.5,"+ 5.5","- 5.5","+ 6","- 6",3,21
2010-12-05,"Denver","Tennessee",6,6,330,-165,3,3,47,48.5,"+ 3","- 3","+ 3","- 3",2.5,23.5
2010-12-05,"Washington","KansasCity",10,7,310,-430,6.5,8.5,45.5,43,"+ 6.5","- 6.5","+ 8.5","- 8.5",3,19.5
2010-12-05,"Chicago","NYGiants",31,24,-270,-400,3.5,5.5,8,7.5,"+ 3.5","- 3.5","+ 5.5","- 5.5",1.5,3
2010-12-05,"SanFrancisco","Detroit",20,16,390,220,41.5,41,43.5,43.5,"+ 41.5","- 41.5","+ 41","- 41",20.5,21
2010-12-05,"NewOrleans","GreenBay",34,34,-320,-515,6.5,6.5,9.5,9,"+ 6.5","- 6.5","+ 6.5","- 6.5",2.5,5.5
2010-12-05,"Atlanta","Cincinnati",30,28,-170,260,2.5,3,47,45,"- 2.5","+ 2.5","- 3","+ 3",3,21.5
2010-12-05,"Oakland","TampaBay",24,28,575,145,45,43,46.5,45,"+ 45","- 45","+ 43","- 43",21.5,23
2010-12-05,"Carolina","SanDiego",13,14,200,-775,12.5,13,40,40.5,"+ 12.5","- 12.5","+ 13","- 13",9.5,20
2010-12-05,"Dallas","Seattle",31,38,240,-250,6.5,5,48,48,"+ 6.5","- 6.5","+ 5","- 5",4,24
2010-12-05,"St.Louis","Indianapolis",35,19,-175,-300,3,3,5,6,"+ 3","- 3","+ 3","- 3",0.5,6
2010-12-05,"Pittsburgh","Arizona",6,13,150,150,39.5,38.5,42,44,"+ 39.5","- 39.5","+ 38.5","- 38.5",18,21
2010-12-05,"NYJets","Baltimore",10,3,180,-180,2.5,3,47,44.5,"+ 2.5","- 2.5","+ 3","- 3",0,1.5
2010-12-06,"Indianapolis","NewEngland",45,30,-210,-220,2,3.5,3,4,"+ 2","- 2","+ 3.5","- 3.5",21,21
2010-12-09,"Oakland","Tennessee",28,31,170,175,43,41.5,44,44,"- 43","+ 43","- 41.5","+ 41.5",0,21
2010-12-12,"Cincinnati","Jacksonville",38,7,365,-200,4.5,3.5,40.5,40,"+ 4.5","- 4.5","+ 3.5","- 3.5",3.5,19.5
2010-12-12,"NewEngland","Pittsburgh",23,36,-170,-475,3,3,9,8.5,"+ 3","- 3","+ 3","- 3",4,17
